Title,Company,Location,Salary
Cannabis Packagers and Trimmers,The Cure Company,"10568 W. Pico Blvd, Los Angeles, CA 90064",17.45
Cannabis Courier - AM and PM Shifts Available!,Cannabis Delivery Service,"Fremont, CA",19.5
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Cashier/Sales Associate,Ace Hardware,"Frazier Park, CA 93225",16.5
Cashier,Valley View Casino & Hotel,"16300 Nyemii Pass Road, Valley Center, CA 92082",17.5
Brand Marketing Coordinator,ThredUp Inc.,"969 Broadway, Oakland, CA 94607",44.79
Air Monitoring Site Operator - Central Valley,California Air Resources Board,"Bakersfield, CA",51.67
Fraud Support Representative (Remote),Sumitomo Mitsui Banking Corporation,California,27.06
"Patient Services Representative II, Call Center",Sutter Health,"Los Altos, CA",32.16
"Weddings & Events! Kitchen Prep, Utility & Dish",Wedgewood Weddings,"Gilroy, CA 95020",24.0
Utility Worker,PG&E Corporation,"Burney, CA 96013",34.53
Mashgiach - 50%,Stanford University,"Stanford, CA",45.0
Marketing Analyst (ARCO ampm),Marathon Petroleum Company LP,"301 E Ocean Blvd Ste 1600, Long Beach, CA 90802",49.32
Lead Warehouse Worker,TARGET,"Riverside, CA 92508",33.58
100% Remote - Full Desk Agency Recruiter,CyberCoders,"Los Angeles, CA 90034",65.1
Lead Warehouse Worker,TARGET,"Riverside, CA 92508",33.58
Front Desk/Host,"Dave & Buster’s of California, Inc.","1914 Wible Road, Bakersfield, CA 93304",16.25
Registrar - Admitting 92,ST. ROSE HOSPITAL,"27200 Calaroga Avenue, Hayward, CA 94545",34.1
Door Greeter,Four Seasons,"Los Angeles, CA",23.1
Student Services Assistant,San Diego Community College District,"San Diego, CA 92101",34.66
Warehouse Associate - 2nd Shift,Cardinal Health,"Ontario, CA 91761",22.1
Facilities and Project Coordinator (Hybrid Opportunity),Stanford University,"Stanford, CA",40.86
Case Management Coordinator (REMOTE),CVS Health,"Sacramento, CA",30.8
Administrative Assistant II (Family Office),In-N-Out,"Irvine, CA",27.15
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Director of Influencer,Fabletics,"El Segundo, CA 90245",82.03
PROOFREADER,Department of General Services,"Yolo County, CA",33.52
"Broista - Bakersfield, CA",Dutch Bros,"Bakersfield, CA",19.0
CRIME ANALYST I,Department of Justice,"Alameda County, CA",30.7
Facilities Coordinator - Remote West Coast,CBRE,"Santa Rosa, CA",30.07
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
OFFICE TECHNICIAN (TYPING),Department of Motor Vehicles,"Sacramento County, CA",25.82
Weight Management Provider,Dion Health,,250.0
Accounting Associate (Remote),Stanford University,"Stanford, CA",29.17
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Entry Level - Police Service Representative (911 Dispatcher),LAPD,"100 North Los Angeles Street, Los Angeles, CA 90012",42.12
Library Assistant,San Bernardino County,"San Bernardino County, CA",19.54
SUPV CUSTOMER SERVICES EAS,United States Postal Service,"2382 S Cedar Ave, Fresno, CA 93725",44.3
Airline Customer Service Agent,SFO,"San Francisco, CA 94125",22.65
"Legal Assistant, 20th Century Studios Legal Affairs",Disney,"Burbank, CA",30.44
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Apprentice,"Helix Electric, Inc.","San Diego, CA 92121",20.0
Utility Worker - GC- Gas,PG&E Corporation,"Antioch, CA 94509",37.34
Data Entry Clerk,DezingzDo,"Los Angeles, CA",21.38
Apprentice (Maintenance Planner),Reyes Coca-Cola Bottling,"8729 Cleta Street, Downey, CA 90241",22.7
Admission Counselor: REMOTE- Mon-Fri 10a-7p PST,Alsana,"Westlake Village, CA 91361",31.25
The Bungalow Greeter,FAIRMONT,"101 Wilshire Boulevard, Santa Monica, CA 90401",24.0
"Vans: Director, FPA Global Brands",Vans,"Costa Mesa, CA 92626",92.81
Stocker / Cashier,Petco,"1873 Westwood Blvd., Los Angeles, CA 90025",20.25
Legends Corporate Team Member,Legends Barbell,"Legends Barbell in Victorville, CA 92392",36.46
Data Entry / Processing Clerk- County of Los Angeles,County of Los Angeles: Registrar-Recorder / County Clerk,"13401 Crossroads Parkway North, Industry, CA 91746",17.83
100% Remote - Full Desk Agency Recruiter,CyberCoders,"Los Angeles, CA 90034",65.1
Office Administrator,ECMC Group,"Los Angeles, CA",35.0
Booking Assistant,CS3 Agency,"CS3 Agency in Los Angeles, CA 90066",20.0
"Chart Completion Representative, Medical Records Specialist",Sutter Health,"San Mateo, CA",27.75
"Chart Completion Representative, Medical Records Specialist",Sutter Health,"San Mateo, CA",27.75
On-Call Banquets Server,Four Seasons,"Los Angeles, CA",53.0
Online Grocery Pick-Up Clerk,Ralphs,"4444 University Pkwy, San Bernardino, CA 92407",16.05
Kennel Attendant-Part Time,VCA Animal Hospitals,"Bakersfield, CA 93311",15.5
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Forklift Operator,Hoffman Structures,"Santa Clara, CA",43.66
Frontend Developer I,"NHN Global, Inc","2250 South Maple Avenue, Los Angeles, CA 90011",45.31
Environmental Services Aide I,Sutter Health,"Sacramento, CA",27.43
WATER RESOURCES TECHNICIAN I,Department of Water Resources,"Kern County, CA",31.14
Driver,In-N-Out,"18240 Harlan Rd, Lathrop, CA 95330",32.0
Technology Executive Assistant,Wayfair,"Mountain View, CA",47.84
Junior PR & Influencer Manager,Fashion Brand,"818 S Broadway, Los Angeles, CA 90014",42.97
CRIMINALIST,Department of Justice,"Fresno County, CA",44.23
Space Planner (Remote),Jacobs,"San Francisco, CA 94102",60.03
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Data Analyst IV,Health Net,California,60.23
Events Specialist,University of California San Francisco,"500 Parnassus Ave, San Francisco, CA 94143",41.27
Police Records Clerk I,"City of Roseville, CA","311 Vernon St, Roseville, CA 95678",25.06
DodgerVision Production Crew,Los Angeles Dodgers LLC,"1000 Vin Scully Ave, Los Angeles, CA 90012",36.0
Receptionist,Smileworld Dental,"3990 Ming Ave, Bakersfield, CA 93309",17.0
Order Filler Picker,DHL,"6551 W Schulte Rd, Tracy, CA 95377",21.0
"Investment Banking - Equity Capital Markets, TMT - Analyst",JPMorgan Chase & Co,"San Francisco, CA 94105",63.8
Research Data Analyst 1,Stanford University,"Stanford, CA",42.05
Warehouse Worker,California State University,"Pomona, CA",21.56
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
The UPS Store Associate,The ups store,"8359 Elk Grove Florin Road, Sacramento, CA 95829",18.0
"WAREHOUSE SELECTOR IV, FULL CASE",McLane Company,"Merced, CA 95343",24.0
Event Staff,For Glo LLC,"651 2nd St, West Sacramento, CA 95605",37.5
The UPS Store Associate,The ups store,"8359 Elk Grove Florin Road, Sacramento, CA 95829",18.0
"WAREHOUSE SELECTOR IV, FULL CASE",McLane Company,"Merced, CA 95343",24.0
Event Staff,For Glo LLC,"651 2nd St, West Sacramento, CA 95605",37.5
Volunteer Services Assistant - Full Time,Shriners Children's,"2425 Stockton Boulevard, Sacramento, CA 95817",33.15
Project Manager (Hybrid),UCLA Health,"Los Angeles, CA 90095",52.71
Cannabis Trimmer,Wicked Gardens,"3048 South Market Street, Redding, CA 96001",19.0
ADMINISTRATIVE ASSISTANT (CITY MANAGER'S OFFICE),"City of Newport Beach, CA","Newport Beach, CA",43.05
Media Asset Analyst,Warner Bros Careers,"Burbank, CA",35.31
Registrar Lead,Good Samaritan Hospital,"2425 Samaritan Drive, San Jose, CA 95124",34.88
Online Store Customer Support Representative,"NIS America, Inc.",California,20.5
Conductor,San Joaquin Valley RR Co.,"Bakersfield, CA",30.77
Administrative Assistant,K. Hovnanian Homes,"Corona, CA",30.0
Operations Technician / Plant Operator,Air Products,"Martinez, CA",47.95
Executive Assistant,NVIDIA,"2788 San Tomas Expressway, Santa Clara, CA 95051",70.51
CLIENT CARE ASSOCIATE - UNION SQUARE,Louis Vuitton,"San Francisco, CA",27.0
Front Desk Associate at the Hilton Garden Inn - Closes 1/19/2024,Redding Rancheria Economic Development Corp.,"5050 Bechelli Lane, Redding, CA 96002",21.0
Receiving/Data Entry,Ryzen Solutions,"47540 Kato Road, Fremont, CA 94538",29.5
Food Service Worker,Summit Food Service,"Lakeport, CA 95453",22.0
Host/Runner,Academy LA,"6021 Hollywood Boulevard, Los Angeles, CA 90028",25.0
County Clerk/Recorder,"Sacramento County, CA","Sacramento, CA",101.21
Assistant Grower I,"Revol Greens MN, LLC","Tehachapi, CA 93561",35.68
"Educational Advisor, Counseling",Kern Community College District,"2100 Chester Ave, Bakersfield, CA 93301",40.78
Administrative Assistant,PIMCO,"Solana Beach, CA",43.52
Sales Associate-Plaza Bonita-873,Pacsun,"3030 Plaza Bonita Road, National City, CA 91950",17.5
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Cannabis Cultivator,Ideal Chill,"Ideal Chill in Los Angeles, CA 91304",17.5
Customer Service Representative,Taylor Morrison,California,29.0
Video Editor,In-N-Out,"Baldwin Park, CA",33.41
Studio Production Services Coordinator,Disney,"Burbank, CA",29.17
Grower Support,"Fall Creek Farm & Nursery, Inc.",California,42.97
Project Policy Analyst-Part TIme,UCLA Health,"Los Angeles, CA 90095",38.46
Chart Completion Representative,Sutter Health,"Novato, CA",27.75
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Medical Interpreter-All languages,Assist Managed Care,"814 Mission Street, San Francisco, CA 94103",40.0
Passport Clerk (Part-Time),City of Arcadia,"Arcadia, CA 91066",19.52
LUXURY HOTEL BABYSITTING,"Sitters In A Second, Inc.","Rancho Mirage, CA",25.0
Technician I / Data Entry Associate,CTI III LLC,"1720 Prairie City Rd Ste 120, Folsom, CA 95630",24.0
Technician I / Data Entry Associate,CTI III LLC,"1720 Prairie City Rd Ste 120, Folsom, CA 95630",24.0
Executive Assistant,TextNow,"San Mateo, CA",83.33
Custodian,Stanford University,"Stanford, CA",27.05
Food Service Partner,Scripps Health,"435 H Street, Chula Vista, CA 91910",23.66
Associate Sourcing Specialist,Amy's Kitchen,California,39.95
INSIDE PROPERTY CLAIMS ADJUSTER - FULLY REMOTE,Pacific Specialty Insurance Company,"Rancho Cordova, CA 95670",32.93
Froster,Nothing Bundt Cakes - San Diego,"San Diego, CA 92110",16.85
Administrative Assistant,204906601,"Hemet, CA 92544",30.0
Designer,Meta,"181 Fremont St, San Francisco, CA 94105",61.46
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Hotel Front Desk Agent,Country Inn & Suites Bakersfield,"2310 Wible Road, Bakersfield, CA 93304",15.5
Executive Assistant - Division President,HP,"1501 Page Mill Rd, Palo Alto, CA 94304",52.08
Administrative Program Coordinator,Stanford University,"Stanford, CA",38.46
Contract Specialist,"Unicare, Inc.","Escondido, CA 92025",41.52
Unit Secretary,Sutter Health,"Sacramento, CA",30.92
Event Crew,Stanford University,"Stanford, CA",23.82
Candy Maker,"Kanpai Foods, LLC","Kanpai Foods, LLC in Los Angeles, CA 90031",19.87
Scheduling Coordinator Remote,Easterseals Southern California,"Gardena, CA 90247",23.5
"Production Coordinator, Technology",Disney,"San Francisco, CA",35.01
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Registrar of Voters,San Bernardino County,"San Bernardino, CA",96.75
Administrative Assistant,City of Santa Clarita,"Santa Clarita, CA",32.67
People Coordinator,h2o.ai,"2307 Leghorn St, Mountain View, CA 94043",32.5
Process Technician - Pay starting at $20.00 per hour,Plastipak Careers,"Victorville, CA",20.0
Food Service Worker,US Veterans Health Administration,"3801 Miranda Ave, Palo Alto, CA 94304",27.71
Hotel Food & Beverage Steward/Dishwasher - Full Time,Disney,"Anaheim, CA",19.9
Publicity Coordinator (Hulu),Disney,"Santa Monica, CA",31.61
Ticketing,TEAM SAN JOSE,"San Jose, CA 95110",23.71
Data Verification Specialist,CorVel Corporation,"Folsom, CA 95630",18.93
Tiktok Livestream Host | DTLA,STYLE CONVERTER LLC,"1013 South Los Angeles Street, Los Angeles, CA 90015",37.5
Front Desk Receptionist,European Wax Center,"1039 West El Camino Real, Mountain View, CA 94040",18.75
Regional Supply Servicer,Terpsey,"Gilroy, CA",50.0
FOOD SERVICE OFFICER,The GEO Group,"1115 N Imperial Ave, El Centro, CA 92243",32.7
Dishwasher,UCLA,"Los Angeles, CA",21.91
Warehouse Inventory Clerk First Shift,Ryder,"18180 Gateway Dr, Victorville, CA 92395",21.0
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Assoc Admin Assistant,PepsiCo,"200 River Rd, Modesto, CA 95351",22.51
"Manager, Business Human Resources",ABBVIE,"Irvine, CA",95.83
